"catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"5454",,"North America",,
"2115",,"North America",,
"5455",,"North America",,
"2114",,"North America",,
"5306",,"North America",,
"5305",,"North America",,
"6151",,"North America",,
"4255",,"North America",,
"4254",,"North America",,
"4151",,"North America",,
"4147",,"North America",,
"4149",,"North America",,
"4150",,"North America",,
"4148",,"North America",,
"4154",,"North America",,
"4153",,"North America",,
"4152",,"North America",,
"4155",,"North America",,
"4156",,"North America",,
"4144",,"North America",,
"4143",,"North America",,
"4146",,"North America",,
"4145",,"North America",,
"3870",,"North America",,
"4075",,"North America",,
"4078",,"North America",,
"4077",,"North America",,
"4076",,"North America",,
"4074",,"North America",,
"4073",,"North America",,
"4072",,"North America",,
"4071",,"North America",,
"4070",,"North America",,
"4068",,"North America",,
"4067",,"North America",,
"4069",,"North America",,
"4053",,"North America",,
"4055",,"North America",,
"4056",,"North America",,
"4057",,"North America",,
"4058",,"North America",,
"4059",,"North America",,
"4060",,"North America",,
"4061",,"North America",,
"4062",,"North America",,
"4063",,"North America",,
"4064",,"North America",,
"4065",,"North America",,
"4043",,"North America",,
"4047",,"North America",,
"4079",,"North America",,
"4052",,"North America",,
"4080",,"North America",,
"4081",,"North America",,
"4082",,"North America",,
"4051",,"North America",,
"4050",,"North America",,
"4049",,"North America",,
"4048",,"North America",,
"4046",,"North America",,
"4054",,"North America",,
"4044",,"North America",,
"4066",,"North America",,
"4045",,"North America",,
"6156",,"North America",,
"6155",,"North America",,
"6157",,"North America",,
"3924",,"North America",,
"3896",,"North America",,
"3897",,"North America",,
"3900",,"North America",,
"3908",,"North America",,
"3910",,"North America",,
"3907",,"North America",,
"3906",,"North America",,
"3905",,"North America",,
"3909",,"North America",,
"3899",,"North America",,
"3885",,"North America",,
"3901",,"North America",,
"3902",,"North America",,
"3903",,"North America",,
"3904",,"North America",,
"3913",,"North America",,
"3912",,"North America",,
"3898",,"North America",,
"3880",,"North America",,
"3871",,"North America",,
"3872",,"North America",,
"3873",,"North America",,
"3874",,"North America",,
"3875",,"North America",,
"3876",,"North America",,
"3877",,"North America",,
"3887",,"North America",,
"3879",,"North America",,
"3911",,"North America",,
"3881",,"North America",,
"3882",,"North America",,
"3914",,"North America",,
"3883",,"North America",,
"3884",,"North America",,
"3888",,"North America",,
"3886",,"North America",,
"3878",,"North America",,
"3894",,"North America",,
"3892",,"North America",,
"3891",,"North America",,
"3889",,"North America",,
"3895",,"North America",,
"3890",,"North America",,
"3922",,"North America",,
"3926",,"North America",,
"3893",,"North America",,
"3923",,"North America",,
"3921",,"North America",,
"3920",,"North America",,
"3919",,"North America",,
"3918",,"North America",,
"3917",,"North America",,
"3916",,"North America",,
"3915",,"North America",,
"3925",,"North America",,
"2219",,"North America",,
"2218",,"North America",,
