"catalogNumber","Genus","standardGenus","family","standardFamily","authority"
"4779","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"4858","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"4588","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"4499","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"2515","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"2693","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"4500","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"2477","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"2603","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"4586","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"4587","Baiomys","Baiomys","Cricetidae","Muridae","ITIS"
"5448","CONDYLURA","Condylura","Talpidae","Scalopinae","ITIS"
"5542","Lemmiscus","Lemmiscus","Cricetidae","Muridae","ITIS"
"5775","Lemmiscus","Lemmiscus","Cricetidae","Muridae","ITIS"
"5820","Mephitis","Mephitis",,"Mephitidae","ITIS"
"2178","Mesocricetus","Mesocricetus","Cricetidae","Muridae","ITIS"
"3761","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4030","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3759","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3762","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3760","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4022","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1449","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1447","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1446","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1445","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"2621","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"2622","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4013","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4015","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4016","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4026","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"4019","Microtus","Microtus","Cricetidae","Muridae","ITIS"
